"primary_key","observed_on","user_id","created_at","updated_at","latitude","longitude","species_guess","scientific_name","common_name","county_names"
80,"2015-07-22",43807,"2016-01-28 16:09:44 +0100","2024-09-22 07:01:00 +0100",39.649269,-74.649567,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
81,"2016-03-02",75723,"2016-03-02 16:59:02 +0100","2025-01-01 22:10:49 +0100",40.476355,-74.437195,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
82,"2016-03-02",173046,"2016-03-02 18:36:01 +0100","2017-02-12 14:34:26 +0100",40.09641549,-74.17928525,"Eastern White Pine","Pinus strobus","eastern white pine","Ocean"
83,"2016-03-02",77467,"2016-03-02 23:48:26 +0100","2017-02-12 14:29:46 +0100",40.994059,-74.290008,"Eastern White Pine","Pinus strobus","eastern white pine","Passaic"
84,"2016-03-02",73716,"2016-03-03 20:50:48 +0100","2017-02-12 14:25:11 +0100",39.92316662,-74.59879783,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
85,"2016-03-05",73667,"2016-03-06 02:09:15 +0100","2024-08-07 18:05:22 +0100",40.47638702,-74.41722107,"eastern white pine","Pinus strobus","eastern white pine","Middlesex"
86,"2016-03-06",76331,"2016-03-07 02:36:05 +0100","2017-02-11 00:12:32 +0100",40.435829,-74.267817,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
87,"2016-03-06",76331,"2016-03-07 02:36:09 +0100","2017-02-11 00:12:25 +0100",40.435829,-74.267817,"Pitch Pine","Pinus rigida","pitch pine","Middlesex"
88,"2016-03-07",78894,"2016-03-07 20:54:31 +0100","2017-02-10 23:52:59 +0100",40.669695,-74.526091,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
89,"2016-03-08",78119,"2016-03-08 21:51:36 +0100","2022-07-16 02:15:50 +0100",40.48364931,-74.43715543,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
90,"2016-03-09",35078,"2016-03-10 20:28:31 +0100","2016-03-10 20:35:49 +0100",40.582768,-74.552729,"Eastern White Pine","Pinus strobus","eastern white pine","Somerset"
91,"2016-03-11",77467,"2016-03-13 16:12:34 +0100","2017-02-10 18:49:48 +0100",40.991124,-74.289331,"Eastern White Pine","Pinus strobus","eastern white pine","Passaic"
92,"2016-03-12",79395,"2016-03-19 22:47:30 +0100","2016-03-20 18:43:57 +0100",39.6733,-74.4603,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
93,"2016-03-19",187285,"2016-03-20 03:39:53 +0100","2025-01-01 22:08:37 +0100",39.894566,-74.225928,"Eastern White Pine","Pinus strobus","eastern white pine","Ocean"
94,"2016-03-23",77467,"2016-03-23 19:59:48 +0100","2017-02-09 21:38:37 +0100",40.926475,-74.265558,"Eastern White Pine","Pinus strobus","eastern white pine","Passaic"
95,"2016-03-23",190658,"2016-03-25 00:00:01 +0100","2024-12-27 07:28:18 +0100",40.490365,-74.423984,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
96,"2016-03-28",206076,"2016-03-28 20:01:08 +0100","2017-02-09 12:26:33 +0100",40.292742,-74.72350018,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
97,"2016-03-28",206073,"2016-03-28 20:01:22 +0100","2017-02-09 12:26:31 +0100",40.29278093,-74.72358082,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
98,"2016-03-28",206070,"2016-03-28 20:02:10 +0100","2017-02-09 12:26:28 +0100",40.29258094,-74.7234887,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
99,"2016-03-28",206068,"2016-03-29 04:45:30 +0100","2025-01-01 22:09:23 +0100",40.29237765,-74.72351581,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
100,"2016-03-28",206069,"2016-03-29 18:01:52 +0100","2020-11-19 12:17:01 +0100",40.29291489,-74.72363244,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
101,"2016-03-29",206076,"2016-03-31 17:03:28 +0100","2017-02-09 02:50:41 +0100",40.29401667,-74.72644667,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
102,"2016-03-28",206076,"2016-03-31 17:08:30 +0100","2017-02-08 21:43:53 +0100",40.29274167,-74.7235,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
103,"2016-03-30",77467,"2016-04-03 18:15:41 +0100","2017-02-08 02:51:37 +0100",40.956728,-74.382886,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
104,"2016-04-14",206079,"2016-04-14 16:30:43 +0100","2025-01-01 22:06:29 +0100",40.29267871,-74.72345794,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
105,"2016-04-15",216905,"2016-04-15 20:24:41 +0100","2016-04-21 13:28:02 +0100",40.28944662,-74.72145843,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
106,"2016-04-08",77467,"2016-04-16 15:02:37 +0100","2017-02-07 23:18:52 +0100",41.027104,-74.179234,"Eastern White Pine","Pinus strobus","eastern white pine","Bergen"
107,"2016-04-14",206072,"2016-04-16 15:48:05 +0100","2020-11-19 12:18:56 +0100",40.29236862,-74.72379849,"Eastern White Pine","Pinus strobus","eastern white pine","Mercer"
108,"2016-04-10",130834,"2016-04-18 03:16:41 +0100","2017-02-05 01:23:30 +0100",40.66226779,-74.75382683,"Eastern White Pine","Pinus strobus","eastern white pine","Hunterdon"
109,"2016-04-20",224972,"2016-04-28 03:36:41 +0100","2024-12-14 00:08:51 +0100",40.474192,-74.422731,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
110,"2016-05-01",190009,"2016-05-01 21:01:43 +0100","2020-11-19 12:19:04 +0100",41.00772261,-74.66806361,"Eastern White Pine","Pinus strobus","eastern white pine","Sussex"
111,"2016-05-09",77216,"2016-05-09 14:26:24 +0100","2017-02-02 02:45:00 +0100",40.48021667,-74.43771333,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
112,"2016-05-10",73667,"2016-05-11 04:36:49 +0100","2017-02-02 02:36:12 +0100",39.7379573,-74.62446347,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
113,"2016-05-12",73716,"2016-05-12 20:38:33 +0100","2017-02-02 13:46:53 +0100",39.44238199,-74.66715711,"Pitch Pine","Pinus rigida","pitch pine","Atlantic"
114,"2016-05-11",130834,"2016-05-17 16:29:57 +0100","2017-10-22 16:47:49 +0100",39.80729045,-74.54566369,"pitch pine","Pinus rigida","pitch pine","Burlington"
115,"2012-01-14",172,"2016-07-05 01:20:35 +0100","2017-01-30 00:08:13 +0100",40.37769,-74.333324,"Pitch Pine","Pinus rigida","pitch pine","Middlesex"
