Tree_ID,sales_price,sales_id
1526,609,15
1532,3743.25,15
1535,2541,15
1536,1895.25,15
1538,1228.5,15
1543,2924.25,15
1544,1858.5,15
1548,2514.75,15
1549,1071,15
1553,2184,15
1556,6462.75,15
1562,2441.25,15
1568,1428,15
1576,4536,15
1579,3234,16
1583,3501.75,16
1594,5748.75,16
1598,1417.5,16
1599,1832.25,16
1600,1244.25,16
1604,1023.75,16
1608,1512,16
1611,2315.25,16
1613,2866.5,16
1625,2457,16
1626,1459.5,16
1632,6993,16
1633,4320.75,16
1634,4137,16
1648,1548.75,16
1649,1218,16
1656,1480.5,16
1658,2331,16
1662,1716.75,16
1674,4546.5,16
1685,3291.75,16
1688,14878.5,16
1690,3003,16
1694,1328.25,16
1697,2068.5,17
1700,2173.5,17
1706,5502,17
1707,3034.5,17
1716,2399.25,17
1720,1396.5,17
1722,5213.25,17
1723,2210.25,17
1728,2871.75,17
1730,4226.25,17
1734,819,17
1739,3092.25,17
1747,1071,17
1749,3003,17
1750,1270.5,17
1770,4247.25,17
1771,6478.5,17
1774,2037,17
1782,5470.5,17
1788,1764,17
1796,5481,17
1803,5607,17
1807,2341.5,17
1812,3223.5,17
1815,1664.25,17
1819,7754.25,18
1827,2399.25,18
1843,2409.75,18
1845,2215.5,18
1846,1758.75,18
1847,4147.5,18
1852,10237.5,18
1869,1102.5,18
1870,5313,18
1873,3144.75,18
1879,1123.5,18
1890,2472.75,18
1892,1674.75,18
1896,2835,18
1901,1034.25,18
1904,1517.25,18
1916,1344,18
1917,2000.25,18
1919,2058,18
1920,2824.5,18
1928,3832.5,18
1935,4011,18
1936,1821.75,18
1938,6195,18
1941,1239,18
1946,1743,19
1947,6672.75,19
1952,1039.5,19
1956,1354.5,19
1957,1454.25,19
1959,1212.75,19
1962,2205,19
1964,2640.75,19
1974,1428,19
1976,1638,19
1980,2651.25,19
1982,1291.5,19
1988,2325.75,19
1994,2682.75,19
1996,4268.25,19
1998,2808.75,19
2002,1207.5,19
2005,7932.75,19
2007,4719.75,19
2016,1401.75,19
2020,3165.75,19
2025,2693.25,19
2033,1370.25,19
2035,1485.75,19
2044,2693.25,19
2048,2241.75,20
2054,6730.5,20
2055,987,20
2063,3113.25,20
2068,1842.75,20
2074,2761.5,20
2076,5922,20
2080,1764,20
2095,1097.25,20
2096,2073.75,20
2099,1517.25,20
2101,2509.5,20
2104,1779.75,20
2111,5717.25,20
2115,1039.5,20
2116,1695.75,20
2120,1359.75,20
2122,1727.25,20
2123,3538.5,20
2127,2530.5,20
2140,3580.5,20
2145,3885,20
2147,2719.5,20
2151,4688.25,20
2158,2283.75,20
2163,2971.5,21
2166,4793.25,21
2169,2945.25,21
2174,1869,21
2175,6384,21
2176,5979.75,21
2181,7607.25,21
2186,4908.75,21
2189,1496.25,21
2194,1254.75,21
2195,887.25,21
2196,3659.25,21
2198,2730,21
2205,1842.75,21
2208,4950.75,21
2211,2908.5,21
2216,1874.25,21
2228,1039.5,21
2231,3606.75,21
2232,2089.5,21
2248,1071,21
2251,2730,21
2259,1638,21
2260,1317.75,21
2262,2100,21
2264,1701,22
2267,1197,22
2268,1617,22
2270,13555.5,22
2271,2084.25,22
2272,1239,22
2274,4137,22
2285,2131.5,22
2286,1506.75,22
2297,3585.75,22
2299,2373,22
2300,4026.75,22
2308,2714.25,22
2309,1302,22
2312,3743.25,22
2324,6263.25,22
2330,5344.5,22
2338,1480.5,22
2341,1968.75,22
2348,3055.5,22
2355,1858.5,22
2361,1002.75,22
2365,2341.5,22
2368,4368,22
2378,2362.5,22
2384,1281,23
2397,3963.75,23
2401,9003.75,23
2410,1349.25,23
2411,1197,23
2413,9266.25,23
2414,2593.5,23
2416,1947.75,23
2418,1181.25,23
2422,1737.75,23
2423,4777.5,23
2436,1926.75,23
2441,966,23
